ID,Claims,LabelC,Related TweetT,LabelT,Related TweetF,LabelF
11,"Russiaís Ukraine offensive now relying on a private mercenary group thatís hiring convicts, UK says",TRUE,"Russia's Ukraine offensive now relying on a private mercenary group that's hiring convicts, UK says https://t.co/AUL7x7sZN4",TRUE,"Russia's Ukraine Offensive Now Relying on a Private Mercenary Group That's Hiring Convicts, UK Says https://t.co/RWovNwWbzF",TRUE
12,"Russiaís Putin lashes out over Western sanctions ëblitzkrieg,í claims Ukraine invasion was forced",TRUE,"Russia‚Äôs Putin lashes out over Western sanctions ‚Äòblitzkrieg,‚Äô claims Ukraine invasion was forced https://t.co/8fXIyVGmPI",TRUE,"Russia‚Äôs Putin lashes out over Western sanctions ""blitzkrieg."" Claims Ukraine invasion was forced. 
‚ùìÔ∏èCan he hear how stupid he sounds? https://t.co/U7bLHKp7X7",FALSE
13,"Russia is preparing for next stage of offensive, Ukraine says",TRUE,"Russia is preparing for next stage of offensive, Ukraine says - CNBC https://t.co/tAveLbK7s8 via @GoogleNews",TRUE,"@UN  Russia preparing for next stage of offensive, Ukraine says https://t.co/Y3euyl40L5 If Evil Putin is allowing his Submarines to fire missiles from international waters then those missiles can be shot down as a danger to shipping. So why does the UN not order this?",FALSE
14,"Ukraine troops ëalmost leftí Sievierodonetsk as Russia pounds north, west",TRUE,"Ukraine troops ‚Äòalmost left‚Äô Sievierodonetsk as Russian missiles pound north, west https://t.co/Fkmq4fkOxO #Ukraine #Russia #News",TRUE,"Putin‚Äôs WAR on Ukraine! KRAMATORSK, Ukraine (AP) Russian troops pushed deeper into a key eastern Ukrainian city Monday, fighting street by street with Kyiv‚Äôs forces in a battle that has left Sievierodonetsk in ruins. There is no end in sight to this madness!!

AP Picture https://t.co/tRwjHrykqG",FALSE
15,ëWe are in a hybrid warí: German foreign minister says as Russia cuts gas supplies to Europe,TRUE,‚ÄòWe are in a hybrid war‚Äô: German foreign minister says as Russia cuts gas supplies to Europe https://t.co/J44zdtArFO,TRUE,‚ÄòWe are in a hybrid war‚Äô: German foreign minister says as Russia cuts gas supplies to Europe I would feel bad. But you gave access to atomic bombs to every European country. Never to any Melanin country now you at war with each other .  https://t.co/2gZBSE0IhE,FALSE
16,"Russian shelling hits chemical plant where civilians are trapped, says Ukraine",TRUE,"Russian shelling hits chemical plant where civilians are trapped, says Ukraine https://t.co/PUO5fVJ16H",TRUE,"Russian shelling hits chemical plant where civilians are trapped, says Ukraine

https://t.co/KrXwfCMxzT",TRUE
17,Russia is weaponizing food supplies to ëblackmail the worldí,TRUE,"Russia is weaponizing food supplies to ‚Äòblackmail the world,¬¥ per CNBC.",TRUE,üì∞Russia is weaponizing food supplies to 'blackmail the world' yeah cause he‚Äôs a gangster and thug we get it. Not just him. Apologize. Every person in Russia is weaponizing food supplies. WOW. Not because during times of military upheaval. üé£ clicküì± https://t.co/IX0tLuC7aV,FALSE
18,Moscow and NATO could be about to clash over Russiaís European exclave Kaliningrad,TRUE,Moscow and NATO could be about to clash over Russia's European exclave Kaliningrad https://t.co/8F58Bb6hHX,TRUE,Moscow and NATO could be about to clash over Russia's European exclave Kaliningrad https://t.co/CDu2JEjn1l It's all too easy to blame Putin &amp; by that Russia. Biden and his extreme NATO rhetoric could start what THE U.S. cant stop/,FALSE
19,"From soaring food prices to social unrest, the fallout from the Russia-Ukraine war could be immense",TRUE,"From soaring food prices to social unrest, the fallout from the Russia-Ukraine war could be immense https://t.co/15jT2ZyEfC",TRUE,"@RepBuddyCarter World inflation enabled by GOP and Trump weakening Ukraine by withholding defense weapons in face of Putin attack.

Worldwide inflation, Buddy.
‚Äî‚Äî

From soaring food prices to social unrest, the fallout from the Russia-Ukraine war could be immense https://t.co/BxgRE2x9nZ",FALSE
20,Ukraine uses Davos to make its pitch to the West ó and takes over Russiaís former party hub,TRUE,Ukraine uses Davos to make its pitch to the West ‚Äî and takes over Russia's former party hub https://t.co/PzDu1rYgSV,TRUE,"Ukraine uses Davos to make its pitch to the West ‚Äî and takes over Russia's former party hub https://t.co/1apOGlzZwl Which can't hide the fact Ukraine is failed state run by an actor, in a bad movie.",FALSE
21,"Chinese calculations on Taiwan affected by Ukraine conflict, says CIA director",TRUE,"Chinese calculations on Taiwan affected by Ukraine conflict, says CIA director https://t.co/ww8xmpwPoU https://t.co/0sCFA6R6mE",TRUE,Chinese calculations on Taiwan affected by Ukraine conflict says CIA director. CIA miscalculated everything including Ukraine‚Äôs willingness to fight against Russia. Also miscalculated the China‚Äôs willingness to reunite Taiwan at all cost! Taiwan is the core interest of China!,FALSE
22,Warren Buffettís son donates $2.7 million for Ukraine aid after meeting with Zelenskyy,TRUE,Warren Buffett‚Äôs son donates $2.7 million for Ukraine aid after meeting with Zelenskyy https://t.co/Z8DNqvvcyn,TRUE,Are these really donations or just another way of money laundering?       Warren Buffett‚Äôs son donates $2.7 million for Ukraine aid after meeting with Zelenskyy https://t.co/XFajeHuYly,FALSE
23,War-ravaged Ukraine moves a step closer to joining the European Union,TRUE,"War-ravaged Ukraine moves a step closer to joining the European Union - The Madras Tribune 
#MadrasTribune #News #BreakingNews
https://t.co/Qw54aMUfAy",TRUE,"How is this any better than the iron curtain? Now enemies will face each other everyday!
War-ravaged Ukraine moves a step closer to joining the European Union https://t.co/krJCF3RCBI",FALSE
24,Russia-Ukraine conflict has a limited impact on Chinaís food prices,TRUE,#Russia-#Ukraine conflict has a limited impact on #China's food prices https://t.co/M6UcX7FUJn,TRUE,[Stigmabase ‰∏≠ÂõΩ] Russia-Ukraine conflict has a limited impact on China's food prices https://t.co/1E6RPkGXqD,TRUE
25,UK bolsters gas stockpile for winter with Ukraine war squeezing supply and sending prices soaring,TRUE,UK bolsters gas stockpile for winter with Ukraine war squeezing supply and sending prices soaring https://t.co/YFAnoetOmt,TRUE,"@happyjack1981 Apparently in Germany they're hiking prices for industry to stockpile gas for the Winter, while in the UK we're selling gas into the high price European market and hiking consumer prices here

All because Russia is blackmailing Europe with the economic sanctions imposed by Europe",FALSE
26,"China upholds its relationship with Russia, says negotiations needed to solve Ukraine conflict",TRUE,"China upholds its relationship with Russia, says negotiations needed to solve Ukraine conflict https://t.co/u2TvAL51W4",TRUE,"This article by a local staff is boring just following the government‚Äôs stance. But you clearly find her NATO containing policy doesn‚Äôt fit to the resolution.

China upholds its relationship with Russia, says negotiations needed to solve Ukraine conflict https://t.co/pCUuCWUUlw",FALSE
27,Chip industry under threat with neon production set to fall off a cliff following Russiaís invasion of Ukraine,TRUE,Chip industry under threat with neon production set to fall off a cliff following Russia's invasion of Ukraine https://t.co/oaTMIfD5cO,TRUE,"üëâChip manufactures have several months of neon in reserve.
üëâLooks like alternate to Ukrainian neon gas will come up very soon.

Chip industry under threat with neon production set to fall off a cliff following Russia's invasion of Ukraine https://t.co/b1HM5FKCsg",FALSE
28,"Natural gas hits highest level since 2008, on pace for best month ever as Russia cuts supply",TRUE,"Natural gas hits highest level since 2008, on pace for best month ever as Russia cuts supply https://t.co/wCH4avAZfg",TRUE,"Biden did this on purpose. Just remember that when you vote.

Natural gas hits highest level since 2008, on pace for best month ever as Russia cuts supply https://t.co/CqdwSrpHJo",FALSE
29,European leaders formally accept Ukraine as a candidate to join the EU,TRUE,European leaders formally accept Ukraine as a candidate to join the EU https://t.co/TQ1nGybMuH,TRUE,"@ladyTbarber1 Here we go (Maybe we slightly misread it): 

""European leaders formally accept Ukraine as a candidate to join the EU""

https://t.co/NJQGaRO5HY

So basically they've set the ball in motion. Doesn't mean it will necessarily happen, though. It's a long process. E.g. Turkey has 

1/2",FALSE
30,"Angela Merkel breaks silence on Ukraine, calls Russiaís war ëbarbaricí",TRUE,"Angela Merkel breaks long silence on Ukraine, calls Russia's war 'barbaric' https://t.co/HmhMhtfZoD",TRUE,"Angela Merkel breaks silence on Ukraine, calls Russia's war ""barbaric"" https://t.co/E8gv53VrI9",TRUE
31,The Ukraine war has upended the energy transition ó and itís not good news for the planet,TRUE,The Ukraine war has upended the energy transition ‚Äî and it's not good news for the planet https://t.co/NiaZ3yKtxm,TRUE,"I can't help but think if this is part of Putin's plan to keep the world hooked on fossil fuels which is its main source of income.

The Ukraine war has upended the energy transition ‚Äî and it's not good news for the planet https://t.co/n87m8STx7j #climate #StandUpForUkraine",FALSE
32,Hereís whatís in Bidenís $700 million military aid package for Ukraine,TRUE,Here's what's in Biden's $700 million military aid package for Ukraine https://t.co/0qWjKYC3DU,TRUE,"Here's what's in Biden's $700 million military aid package for Ukraine ... hang on, didn't Joe Biden just sign a $40 BILLION package for Ukraine?ü§î

 https://t.co/29ItoJhyKC",FALSE
33,White House tells CEOs to brace for ëlong-termí disruptions from Russia-Ukraine conflict,TRUE,White House tells CEOs to brace for 'long-term' disruptions from Russia-Ukraine conflict https://t.co/FsVHGaepNF https://t.co/ueNSzwmrPb,TRUE,White House tells CEOs to brace for 'long-term' disruptions from #Russia-#Ukraine #Conflict - https://t.co/3GH1jz3SBb - #Europe #NATO #Putin #Television #VladimirPutin #WhiteHouse,TRUE
34,Russia and the West are battling to get China and India to take their sides in the Ukraine war,TRUE,Russia and the West are battling to get China and India to take their sides in the Ukraine war https://t.co/y5AE3Ji6SB,TRUE,Russia and the West are battling to get China and India to take their sides in the Ukraine war https://t.co/1zqz920jyu,TRUE
35,Russia and Ukraineís battle for Donbas could decide the war ó and it could go either way,TRUE,Russia and Ukraine's battle for Donbas could decide the war ‚Äî and it could go either way https://t.co/OxOLD8uy1Y,TRUE,Russia and Ukraine's battle for Donbas could decide the war ‚Äî and it could go either way https://t.co/YyrxewHOi5,TRUE
36,ëThe whole world is against usí: Russian military analyst gives damning assessment of Ukraine war on state TV,TRUE,"""The whole world is against us"": Russian military analyst gives damning assessment of Ukraine war on state TV https://t.co/H8iUjk2RKa",TRUE,"Paper tiger Putin has been exposed. He has brought shame and hardship to Russia for personal reasons. The analogy to Trump America is startling. 
'The whole world is against us': Russian military analyst gives damning assessment of Ukraine war on state TV https://t.co/PyZ2eBy8go",FALSE
37,The world reacts as Russiaís Putin sends troops into eastern Ukraine,TRUE,The world reacts as Russia's Putin sends troops into eastern Ukraine https://t.co/Tw9r3HL1zd,TRUE,The world reacts as Russia's Putin sends troops into eastern Ukraine https://t.co/ylb8gZzBK3,TRUE
38,ëFor the first time in history anyone can join a warí: Volunteers join Russia-Ukraine cyber fight,TRUE,'For the first time in history anyone can join a war': Volunteers join Russia-Ukraine cyber fight https://t.co/psdFuUaHdU,TRUE,"For the first time in history anyone can join a war': 

Volunteers join Russia- Ukraine cyber fight. (CNBC) 

#UkraineWar #CyberWar #CyberWarriors #UkraineRussiaWar

https://t.co/BHPMVppxBL",TRUE
39,"The Ukraine war ó like all conflicts ó will hit women and girls the hardest, UN warns",TRUE,"The Ukraine war ‚Äî like all conflicts ‚Äî will hit women and girls the hardest, UN warns https://t.co/8Hji0Hxe2Q",TRUE,"Lots of men are dying in Ukraine, but somehow, women have it worse? I just don't get feminist logic (or illogic).

he Ukraine war ‚Äî like all conflicts ‚Äî will hit women and girls the hardest, UN warns - CNBC - https://t.co/AVWqS6e6kN #GoogleAlerts",FALSE
40,White House: Russian officials visited Iran to see drones,TRUE,White House: Russian officials visited Iran to see drones https://t.co/B41LEVAbVG,TRUE,White House: Russian officials visited Iran to see drones https://t.co/XazyxdUloX,TRUE
41,"West should have backed Ukraine back in 2014, President Zelenskyy tells Davos elite",TRUE,"West should have backed Ukraine back in 2014, President Zelenskyy tells Davos elite https://t.co/kQgdnWybZM",TRUE,"He's rewriting history. 

Biden told the world that Russia was going to invade. He said Biden was wrong. Now, he blames the US.

West should have backed Ukraine back in 2014, President Zelenskyy tells Davos elite https://t.co/hORn7YMxDd",FALSE
42,Russia gets the cold shoulder at the worldís biggest mobile phone show amid Ukraine war,TRUE,Russia gets the cold shoulder at the world's biggest mobile phone show amid Ukraine war https://t.co/yBWJMMvzuw,TRUE,Russia gets the cold shoulder at the world's biggest mobile phone show amid Ukraine war https://t.co/2kAVoWm8yU,TRUE
43,The world is bracing for a global cyberwar as Russia invades Ukraine,TRUE,The world is bracing for a global #Cyberwar as Russia invades #Ukraine. (CNBC) #War #CyberSecurity https://t.co/bjoU4SbRX0 https://t.co/41p3xQmeGL,TRUE,The world is bracing for a global cyberwar as Russia invades Ukraine https://t.co/tnV7qMcp5C,TRUE
44,Bill Ackman says Russiaís attack on Ukraine means World War III has likely already started,TRUE,Billionaire hedge fund manager Bill Ackman says Russia's attack on Ukraine means World War III has likely already started https://t.co/8OSc66jNLp,TRUE,"NO...YOUR WAR...EUROPE WAR NOT WORLD WAR,DO NOTNDRAW INNOCENT PEOPLE INTO YOUR WHITE JESUS BULLSHIT,WTF IS WRONG WITH THESE CONCEITED ARROGANT PEOPLE...Bill Ackman says Russia's attack on Ukraine means World War III has likely already started

https://t.co/nDNHEvA2qa",FALSE
45,Putinís Ukraine invasion is turning into a ëgrinding warí where nobody wins,TRUE,Putin's Ukraine invasion is turning into a 'grinding war' where nobody wins https://t.co/DJ8duCytGF,TRUE,"NO. Ukraine is clearly winning.
-----
CNBC: Putin's Ukraine invasion is turning into a 'grinding war' where nobody wins.
https://t.co/0KNmbPCwIi",FALSE
46,"UN watchdog warns Russia bombardment endangers Ukraineís nuclear security, calls for restraint",TRUE,"UN watchdog warns Russia bombardment endangers Ukraine's nuclear security, calls for restraint https://t.co/2gmIVNaR1P",TRUE,"UN watchdog warns Russia bombardment endangers Ukraine's nuclear security, calls for restraint https://t.co/X4s7ItFpTT",TRUE
47,"McDonaldís, quiet on the Ukraine war, has more exposure to Russia than other U.S. fast-food chains",TRUE,"McDonald's, quiet on the Ukraine war, has more exposure to Russia than other U.S. fast-food chains https://t.co/fiVXMvGDUw",TRUE,"Quite uh over 150 complanies. Protest even boos. And yr quite in giess shit money all take any money!! McDonald's, quiet on the Ukraine war, has more exposure to Russia than other U.S. fast food chains https://t.co/UMu4uSq04b",FALSE
48,Biden will travel to Brussels this month for NATO summit about Russiaís attack on Ukraine,TRUE,"BREAKING:

President Biden will travel to Brussels this month for the NATO summit about Russia's attack on Ukraine.",TRUE,"Biden will travel to Brussels this month for NATO summit about Russia's attack on Ukraine, no rush or anything 

https://t.co/xXf5UuEf9y",FALSE
49,"Ukraine ëis not ready to surrender or capitulateí to Russia, foreign minister says",TRUE,"Ukraine is ""not ready to surrender or capitulate"" to Russia, foreign minister says https://t.co/Zw18FpqhJW",TRUE,"Ukraine is 'not ready to surrender or capitulate' to Russia, foreign minister says https://t.co/FasewzkbxB",TRUE
50,Russiaís Ukraine invasion sparks watershed moment in EU politics,TRUE,Russia's Ukraine invasion sparks watershed moment in EU politics - CNBC https://t.co/toRc22FC5r,TRUE,Russia's Ukraine invasion sparks watershed moment in EU politics https://t.co/2OTQvpuaRc,TRUE
51,Eastern Europe created its own Silicon Valley. Russiaís invasion of Ukraine risks it all,TRUE,Eastern Europe created its own Silicon Valley. Russia's invasion of Ukraine risks it all https://t.co/mUmSECPlwH,TRUE,"@page88 Eastern Europe created its own Silicon Valley. Russia‚Äôs invasion of Ukraine risks it all. 
A technology hub as strong as Eastern Europe‚Äôs, now ‚Äúdigital geopolitics‚Äù threatens its accomplishments. 
Putin's hatred of other's successes. 
https://t.co/QePvUbpUOu",FALSE
52,Putinís invasion of Ukraine is seen as his biggest ever mistake ó and it will harm Russia for years to come,TRUE,Putin's invasion of Ukraine is seen as his biggest ever mistake ‚Äî and it will harm Russia for years to come https://t.co/GKiaf7Clun,TRUE,"Quote in #CNBC https://t.co/uErQQRjuIF : ""Putin‚Äôs invasion of Ukraine is seen as his biggest ever mistake ‚Äî and it will harm Russia for years to come""

Private Opinion: #Russia could damage itself currently the most. #Chancepotential is at #Point #Zero in #Russia. #Peace üïä",FALSE
53,If Putin uses chemical weapons in Ukraine itís a ëgame changerí for NATO,TRUE,"If Putin uses chemical weapons in Ukraine it's a ""game changer"" for NATO https://t.co/cqpPhIi3WT",TRUE,"BS. It won't change anything. Our rhetoric will get louder, and maybe we impose more sanctions, but that is it. 

If Putin uses chemical weapons in Ukraine it's a 'game changer' for NATO https://t.co/mlTcCfKHGw",FALSE
54,Russiaís invasion of Ukraine provides ëgreater focusí for NATO troops in the Baltics,TRUE,Russia‚Äôs invasion of Ukraine provides ‚Äògreater focus‚Äô for NATO troops in the Baltics https://t.co/h8gicRubkC,TRUE,Russia‚Äôs invasion of Ukraine provides ‚Äògreater focus‚Äô for NATO troops in the Baltics https://t.co/XFrwtMSkYF,TRUE
55,China says it wants to steer clear of U.S. sanctions over Russiaís invasion of Ukraine,TRUE,China says it wants to steer clear of U.S. sanctions over Russia's invasion of Ukraine https://t.co/qc8ejIqlHj,TRUE,"@CNBCnow Terrible headline: 'China says it wants to steer clear of U.S. sanctions over Russia‚Äôs invasion of Ukraine' - Steer Clear?? This is a war, not a boat ride.",FALSE
56,Chinaís reputation is at risk if Beijing were to help Russia in its war on Ukraine,TRUE,China's reputation is at risk if Beijing were to help Russia in its war on Ukraine https://t.co/biIltOypi1,TRUE,China's reputation is at risk if Beijing were to help Russia in its war on Ukraine https://t.co/WgGdakA6S0 At risk?  It should be done in and over with if they help Russia!   Freedom isn't free folks! Time to stand up and be counted America!!,FALSE
57,Biden warns Xi of global backlash if China helps Russiaís attack on Ukraine,TRUE,Biden warns Xi of global backlash if China helps Russia's attack on Ukraine https://t.co/p7AKyu6Vlf,TRUE,"#Biden warns #Xi of global backlash if China helps Russia's attack on Ukraine - #media #spin again...China has blamed #USA and #NATO for inciting the war...so it's US on its knees...not warning

https://t.co/hxJsHgPT1n",FALSE
58,"Nord Stream 2 cost $11 billion to build. Now, the Russia-Europe gas pipeline is unused and abandoned",TRUE,"Nord Stream 2 cost $11 billion to build. Now, the Russia-Europe gas pipeline is unused and abandoned. https://t.co/z4ZuC23AUp",TRUE,"@Acyn Germany cancelled the Nord Stream 2, Ron. 
Facts matter!
Nord Stream 2 cost $11 billion to build. Now, the Russia-Europe gas pipeline is unused and abandoned https://t.co/lvrqUrgQL1",TRUE
59,Ukraine is winning the information war against Russia,TRUE,Ukraine is winning the information war against Russia https://t.co/PCiayeDjXz,TRUE,"6/7/22: The Tide Is Turning Against Ukraine; Russia Is Winning the Information War in the Global South.
The latest developments, including:
- Ian Bremmer's analysis on the latest in Ukraine
- Russia consolidating control in Donbas
- The long war benefits  https://t.co/puQg1EKigT",FALSE
60,Russiaís chaotic and confusing invasion of Ukraine is baffling military analysts,TRUE,Russia's chaotic and confusing invasion of Ukraine is baffling military analysts https://t.co/o8R1hXDEnl,TRUE,"Russia's chaotic and confusing invasion of Ukraine is baffling military analysts

Nothing baffling about it. Putin appointed his top generals based on their ability to always say yes. Not because they were competent. 
https://t.co/ZlRJJ6dFC8",FALSE
61,Russia says strike on Ukrainian port hit military targets,TRUE,Russia says strike on Ukrainian port hit military targets https://t.co/R5Ej9UgZ1r,TRUE,Russia says strike on Ukrainian port hit military targets https://t.co/KNWuMomrht via @YahooNews stop lying Russia do you want the damn grain or not morons!,FALSE
62,Zelenskyy says Russia using gas to terrorize Europe; About 80 grain vessels ready to leave Ukraine,TRUE,Zelenskyy says Russia using gas to terrorize Europe; About 80 grain vessels ready to leave Ukraine https://t.co/SJwBA2QTnI,TRUE,Zelenskyy says Russia using gas to terrorize Europe; About 80 grain vessels ready to leave Ukraine https://t.co/I9UDlFU1pr,TRUE
63,"Russia adds 7,000 troops to Ukraine border, despite claims it would withdraw some forces, U.S. says",TRUE,"Russia adds 7,000 troops to Ukraine border, despite claims it would withdraw some forces, U.S. says https://t.co/gBa55bDxRz",TRUE,"Sure, you also said the invasion will occur on the 16th, lol

Russia adds 7,000 troops to Ukraine border, despite claims it would withdraw some forces, U.S. says https://t.co/KDidEINtjv",FALSE
64,Russia says itís begun partial troop pullback from Ukraine border; NATO urges caution,TRUE,Russia says it's begun partial troop pullback from Ukraine border; NATO urges caution https://t.co/Vy4STsUNlg,TRUE,"Russia says it‚Äôs begun partial troop pullback from Ukraine border; NATO urges caution
https://t.co/aqLXtERDlM",TRUE
65,Ukraine accuses pro-Russia rebels of ëprovocationí after reports of shelling near border,TRUE,Ukraine accuses pro-Russia rebels of 'provocation' after reports of shelling near border https://t.co/I6mvnWBdhQ,TRUE,Ukraine accuses pro-Russia rebels of ‚Äòprovocation‚Äô after reports of shelling near border https://t.co/p43CVEvLRn #osint #russia #ukraine,TRUE
66,"Russia now has over 150,000 troops near Ukraine, U.S. official says, amid reports of more attacks",TRUE,"Russia now has over 150,000 troops near Ukraine, U.S. official says, amid reports of more attacks https://t.co/uelbT5pwGg",TRUE,"Russia now has over 150,000 troops near Ukraine, U.S. official says, amid reports of more attacks

https://t.co/xNavtTtA9R",TRUE
67,UN Security Council meets on Ukraine crisis as Biden readies new Russia sanctions,TRUE,UN Security Council meets on Ukraine crisis as Biden readies new Russia sanctions https://t.co/QNh1VEDaQJ,TRUE,UN Security Council meets on Ukraine crisis as Biden readies new Russia sanctions https://t.co/7zDmU7PDcB,TRUE
68,"Jeremy Siegel: Fed inflation fight way more important to U.S. economy, markets than Russia-Ukraine",TRUE,"Jeremy Siegel: Fed inflation fight way more important to U.S. economy, markets than Russia-Ukraine https://t.co/80VFf3XP7g",TRUE,"Jeremy Siegel: Fed inflation fight way more important to U.S. economy, markets than Russia-Ukraine ya think?  https://t.co/IkUaRtn3F9",FALSE
69,Ukraine says 500 members of National Guard have died so far; Russian forces ëpushed backí from second-largest city Kharkiv,TRUE,Ukraine says 500 members of National Guard have died so far; Russian forces 'pushed back' from second-largest city Kharkiv - CNBC https://t.co/rUIpOzmfOO via @GoogleNews,TRUE,Ukraine says 500 members of National Guard have died so far; Russian forces 'pushed back' from second-largest city Kharkiv https://t.co/nuV72ZAqNc,TRUE
70,"Germany urged to ëwake upí over Ukraine-Russia crisis, before itís too late",TRUE,"Germany urged to 'wake up' over Ukraine-Russia crisis, before it's too late https://t.co/O0SZB5HTRo",TRUE,"""Germany urged to ‚Äòwake up‚Äô over Ukraine-Russia crisis, before it‚Äôs too late""
 https://t.co/ShEAtBC5oG",TRUE
71,Ukraine warns of ëfull-scale warí and tragedy in Europe if Russia attacks,TRUE,Ukraine warns of 'full-scale war' and tragedy in Europe if Russia attacks https://t.co/FaoLQMALLh,TRUE,"Ukraine warns of ""full-scale war"" and tragedy in Europe if Russia attacks https://t.co/eXtKPI1LOm",TRUE
72,"White House warns that Russia could invade Ukraine within days, urges Americans to leave",TRUE,"White House warns that Russia could invade Ukraine within days, urges Americans to leave @CNBC https://t.co/5RUyRvBjEr",TRUE,"""White House warns that Russia could invade Ukraine within days, urges Americans to leave""... is it just me or is this the US pushing as hard as it can to provoke a new war! But this time against Russia?
They don't learn shit! Russia isn't about to invade Ukraine. No motive.",FALSE
73,Russia claims to have changed its strategy in Ukraine ó but there are doubts over its real intentions,TRUE,Russia claims to have changed its strategy in Ukraine ‚Äî but there are doubts over its real intentions https://t.co/Lcelf3OwHx,TRUE,"Russia claims to have changed its strategy in Ukraine ‚Äî but there are doubts over its real intentions https://t.co/gWXho7hdMf ""Doubts""? Really? Way to reach for the truth there, .@CNBC",FALSE
74,U.S. is taking ëa close lookí at whether to label Russia a state sponsor of terrorism. Hereís what that means,TRUE,U.S. is taking 'a close look' at whether to label Russia a state sponsor of terrorism. Here's what that means https://t.co/j333Pj2jYA,TRUE,U.S. is taking 'a close look' at whether to label Russia a state sponsor of terrorism. Here's what that means. ISN‚ÄôT THE US SPONSORING TERRORISM IN SEVERAL COUNTRIES SIMULTANEOUSLY at any moment in the past forty years? https://t.co/HHUiXlCMKd,FALSE
